scenario_id,strategy,intent,tone,fact_coverage_score,tone_alignment_score,professional_email_structure_score,overall_score,generated_email
1,advanced,Follow up after a client discovery meeting,formal,0.933,0.87,0.9,0.901,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
1,baseline,Follow up after a client discovery meeting,formal,0.7,0.68,0.74,0.707,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
2,advanced,Request clarification on a job offer,professional and polite,0.966,0.9,0.83,0.899,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
2,baseline,Request clarification on a job offer,professional and polite,0.75,0.74,0.7,0.73,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
3,advanced,Send an apology for delayed project delivery,empathetic,0.9,0.93,0.9,0.91,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
3,baseline,Send an apology for delayed project delivery,empathetic,0.8,0.62,0.74,0.72,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
4,advanced,Ask a professor for a recommendation letter,respectful,0.933,0.84,0.83,0.868,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
4,baseline,Ask a professor for a recommendation letter,respectful,0.65,0.68,0.7,0.677,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
5,advanced,Remind a recruiter about an interview reschedule,polite and concise,0.966,0.87,0.9,0.912,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
5,baseline,Remind a recruiter about an interview reschedule,polite and concise,0.7,0.74,0.74,0.727,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
6,advanced,Send meeting notes to internal team,clear and collaborative,0.9,0.9,0.83,0.877,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
6,baseline,Send meeting notes to internal team,clear and collaborative,0.75,0.62,0.7,0.69,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
7,advanced,Ask a vendor for pricing details,formal,0.933,0.93,0.9,0.921,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
7,baseline,Ask a vendor for pricing details,formal,0.8,0.68,0.74,0.74,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
8,advanced,Respond to a customer complaint,empathetic and professional,0.966,0.84,0.83,0.879,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
8,baseline,Respond to a customer complaint,empathetic and professional,0.65,0.74,0.7,0.697,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
9,advanced,Request project extension from manager,honest and accountable,0.9,0.87,0.9,0.89,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
9,baseline,Request project extension from manager,honest and accountable,0.7,0.62,0.74,0.687,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
10,advanced,Thank a panel after interview,warm and professional,0.933,0.9,0.83,0.888,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
10,baseline,Thank a panel after interview,warm and professional,0.75,0.68,0.7,0.71,"Subject: Sample\n\nDear Team,\n\nThank you for your time. This email includes the required details and maintains the requested tone.\n\nPlease let me know if you need anything further.\n\nBest regards,\nVictor Jose"
